Description	Code
string in the middle of first string	"

def appendMiddle(s1, s2):
	middleIndex = int(len(s1) / 2)
	print(""Original Strings are"", s1, s2)
	middleThree = s1[:middleIndex:] + s2 + s1[middleIndex:]
	print(""After appending new string in middle"", middleThree)


appendMiddle(""bananna"", ""monkey"")
"
write Python code to remove all strings from a list of tuples	"listOfTuples = [
	('string', 'Geeks'),
	(2, 225),
	(3, '111'),
	(4, 'Cyware'),
	(5, 'Noida')]
output = [tuple(j for j in i if not isinstance(j, str)) for i in listOfTuples]


print(output)
"
Calculate the pair-wise product of two lists	"list1 = [1, 2, 3]
list2 = [5, 6, 7]
final = [list1[i] * list2[i] for i in range(len(list1))]
print(f""pair-wise product of two lists:{final}"")
"
velocity u, time t and acceleration a	"def cal_displacement(
	initial_velocity: float,
	accelration: float,
        time: float) -> float:
	return initial_velocity * time + .5 * accelration * (time)**2
"
71 write a python function to count the length of the string	"

def len_str(st):
	return len(st)
"
String	"

def modify(string):
	final = """"
	for i in range(len(string)):
        if i % 2 == 0:
            final = final + string[i]
	return final
"
write a python function to get the factorial of a given number	"def factorial(n):
	if n == 1:
        return n
	else:
        return n * factorial(n - 1)
"
Write a python program for print all elements with digit 7.	"
test_list = [56, 72, 875, 9, 173]

K = 7

res = [ele for ele in test_list if str(K) in str(ele)]

print(""Elements with digit K : "" + str(res))
"
Write a function to return the area of a rectangle	"def cal_area_rect(length, breadth):
	return length * breadth
"
21. Python Program to Find Armstrong Number in an Interval	"lower = 100
upper = 2000


for num in range(lower, upper + 1):

	order = len(str(num))
	sum = 0
	temp = num
	while temp > 0:
        digit = temp % 10
        sum += digit ** order
        temp //= 10

	if num == sum:
        print(num)
"
87 write a program Tower of Hanoi	"

def hanoi(x):
	global repN
	repN += 1
	if x == 1:
        return 2

	else:
        return 3 * hanoi(x - 1) + 2


x = int(input(""ENTER THE NUMBER OF DISKS: ""))


global repN
repN = 0


print('NUMBER OF STEPS: ', hanoi(x), ' :', repN)
"
maximum value	"def add_even_num(min, max):
	return sum([i for i in range(min, max) if i % 2 == 0])


add_even_num(1, 6)
"
write a python program to split the string into chunks of size 3	"

str = 'CarBadBoxNumKeyValRayCppSan'
n = 3
chunks = [str[i:i + n] for i in range(0, len(str), n)]
print(chunks)
"
Write a Python function to unzip a list of tuples into individual lists	"def unzip_list_of_tuples(list_tuple):
	return list(zip(*l))
"
43. python function for finding sine angle	"def sine(angle):
	

	return math.sin(angle)
"
velocity u, time t and acceleration a	"def cal_final_velocity(
	initial_velocity: float,
	accelration: float,
        time: float) -> float:
	return initial_velocity + accelration * time
"
Write a function to return the perimeter of a isoscales triangle	"def cal_perimeter_iso_triangle(s1, s2):
	return 2 * s1 + s2
"
write a function to convert tuple to list	"def convert_tuple2list(t):
	return list(t)
"
Generator using yield function	"def generator_yield(n=100000):
	for i in range(n):
        if i % 5 == 0:
            yield i
"
42. python function for finding the derivative of cosine angle	"def dcosine(angle):
	

	return -math.sin(angle)
"
Write a method which can calculate and return square value of number	"def square(num):
	return num ** 2
"
write a python function to convert decimal to hexadecimal	"

def decToHexa(n):
	hexaDeciNum = ['0'] * 100
	i = 0
	while(n != 0):
        temp = 0
        temp = n % 16
        if(temp < 10):
            hexaDeciNum[i] = chr(temp + 48)
            i = i + 1
        else:
            hexaDeciNum[i] = chr(temp + 55)
            i = i + 1
        n = int(n / 16)
	j = i - 1
	while(j >= 0):
        print((hexaDeciNum[j]), end="""")
        j = j - 1
"
write a python program that print today's date	"print(date.today())
"
write a python function to find nCr	"
def nCr(n, r):

	def fact(n):
        res = 1
        for i in range(2, n + 1):
            res = res * i
        return res

	return (fact(n) / (fact(r)
                       * fact(n - r)))
"
equal to the given number using a while loop	"input_num = 27
while input_num:
	print(input_num)
	input_num -= 1
"
to both set1 and set2	"set1 = {10, 20, 30, 40, 50}
set2 = {30, 40, 50, 60, 70}
set1.intersection_update(set2)
print(set1)
"
in kg to energy	"def cal_energy_by_mass(mass: float) -> float:
	c = 300000
	return mass * (c**2)
"
directory	"def split_filename(input_file_name):
	if(isinstance(input_file_name, str) == False):
        raise TypeError
	tokens = input_file_name.split(""/"")
	return ""/"".join(tokens[:-1]), tokens[-1]
"
slant height as input	"def cone_surface_area(radius, slant_height):
	surface_area = 3.14 * (radius ** 2) + 3.14 * radius * slant_height
	return surface_area
"
Eratosthenes.	"

n = int(input(""Enter upper limit of range: ""))
sieve = set(range(2, n + 1))
while sieve:
	prime = min(sieve)
	print(prime, end=""\t"")
	sieve -= set(range(prime, n + 1, prime))

print()
"
44. Python Program to Multiply Two Matrices using Nested Loop	"

X = [[12, 7, 3],
     [4, 5, 6],
     [7, 8, 9]]
Y = [[5, 8, 1, 2],
     [6, 7, 3, 0],
     [4, 5, 9, 1]]
result = [[0, 0, 0, 0],
          [0, 0, 0, 0],
          [0, 0, 0, 0]]

for i in range(len(X)):
	for j in range(len(Y[0])):
        for k in range(len(Y)):
            result[i][j] += X[i][k] * Y[k][j]

for r in result:
	print(r)
"
printing the result	"print('mobile number found from the string : ', m.group())
"
write a python function for a string to swap the case of all letters.	"def swap_case(s):
	return ''.join(x for x in (i.lower() if i.isupper() else i.upper()
                               for i in s))
"
Write a python function that prints the Contents of a File in Reverse Order	"

def reverse_content(filename):
	for line in reversed(list(open(filename))):
        print(line.rstrip())
"
write a python program to break when the num is perfectly divisible	"

i = 1
while True:
	if i % 3 == 0:
        break
	print(i)

	i += 1
"
40. write a Python function to Remove all duplicates from a given string	"def removeDuplicate(str):
	s = set(str)
	s = """".join(s)
	print(""Without Order:"", s)
	t = """"
	for i in str:
        if(i in t):
            pass
        else:
            t = t + i
	print(""With Order:"", t)


str1 = ""conondrum""
removeDuplicate(str1)


from .sin import sine
from .cos import cosine
from .tan import tangent
from .softmax import softmax
from .sigmoid import sigmoid
from .tanh import tanh
from .relu import ReLU
from .log import log
from .exp import exp


from .sin import dsine
from .cos import dcosine
from .tan import dtangent
from .sigmoid import dsigmoid
from .tanh import dtanh
from .log import dlog
from .exp import dexp


import math
"
write a python function to add elements of two lists	"def add_two_lists(list1, list2):
	list1 = [1, 2, 3]
	list2 = [4, 5, 6]
	sum_list = []

	for (item1, item2) in zip(list1, list2):
        sum_list.append(item1 + item2)
	return sum_list
"
no using class	"

class Fib:
	def __init__(self):
        self.cache = {1: 1, 2: 1}

	def fib(self, n):
        if n not in self.cache:
            print(f'Calculating fib({n})')
            self.cache[n] = self.fib(n - 1) + self.fib(n - 2)
        return self.cache[n]
"
Write a function to repeat M characters of a string N times	"

def multTimes(str, m, n):
	front_len = m
	if front_len > len(str):
        front_len = len(str)
	front = str[:front_len]
	result = ''
	for i in range(n):
        result = result + front
	return result


print(multTimes('Hello', 3, 7))
"
the base using recursion.	"

def power(base, exp):
	if(exp == 1):
        return(base)
	if(exp != 1):
        return(base * power(base, exp - 1))


base = int(input(""Enter base: ""))
exp = int(input(""Enter exponential value: ""))
print(""Result:"", power(base, exp))
"
Shuffle a list randomly	"import random
list = [2, 5, 8, 9, 12]
random.shuffle(list)
print(""Printing shuffled list "", list)
"
35 function to sort the  dictionary with respect to key.	"def dict_sort_with_key(test_dict: dict):
	final_dict = {}
	temp = sorted(test_dict)
	for i in temp:
        final_dict[i] = test_dict[a]
	return final_dict
"
Write a function that returns a dictionary sorted descending by its values	"def descending_dict_valuesort(d: dict):
	return {
        key: val for key,
        val in sorted(
            d.items(),
            reverse=True,
            key=lambda ele: ele[1])}
"
write a python program to print the ascii value of input character	"

character = input("" Enter Character :"")
print(f""Ascii value of character {character} is : "", ord(character))
"
Write a function to print all time when angle between hour hand and minute	"def printTime(theta):
	for hh in range(0, 12):
        for mm in range(0, 60):
            if (calcAngle(hh, mm) == theta):
                print(hh, "":"", mm, sep="""")
                return
	print(""Input angle not valid."")
	return


theta = 90.0
printTime(theta)
"
+ bx + c = 0	"def root_type(a: float, b: float, c: float):
	if b**2 - 4 * a * c >= 0:
        return 'real'
	else:
        return 'imaginary'
"
Write a function that returns a dictionary sorted ascending by its keys	"def ascending_dict_keysort(d: dict):
	return {key: val for key, val in sorted(d.items(), key=lambda ele: ele[0])}
"
Write a function to return the perimeter of an equilateral triangle	"def cal_perimeter_eq_triangle(a):
	return 3 * a
"
print its contents	"def read_and_print_file(filepath):
	with open(filepath, ""r"") as infile:
        print(infile.read())
"
"square root is not an integer"""	"def find_integer_square_roots(num):
	found = False
	for k in range(1, (num // 2) + 1):
        if ((k**2) == num):
            found = True
            break
	if not found:
        return ""Error - the square root is not an integer""
	return -k, k
"
string into all upper case and print the result	"string = input(""Please Enter your Own String : "")


string1 = string.upper()

print(""\nOriginal String in Lowercase  =  "", string)
print(""The Given String in Uppercase =  "", string1)
"
50 write a program to display the multiplication table of a number	"

num = int(input(""Show the multiplication table of? ""))
"
24 how to convert fahrenheit to celsius in python	"Celsius = (Fahrenheit - 32) * 5.0 / 9.0
"
write a python function to reverse a user provided list or string	"

def reverse(itr):
	return itr[::-1]
"
Parenthesized using Stack	"

class Stack:
	def __init__(self):
        self.items = []

	def is_empty(self):
        return self.items == []

	def push(self, data):
        self.items.append(data)

	def pop(self):
        return self.items.pop()


s = Stack()
exp = ""(x+y""

for c in exp:
	if c == '(':
        s.push(1)
	elif c == ')':
        if s.is_empty():
            is_balanced = False
            break
        s.pop()
else:
	if s.is_empty():
        is_balanced = True
	else:
        is_balanced = False

if is_balanced:
	print('Expression is correctly parenthesized.')
else:
	print('Expression is not correctly parenthesized.')
"
write a program to count characters in a string	"st = ""AmmarAdil""
count = {}
for a in st:
	if a in count:
        count[a] += 1
	else:
        count[a] = 1
print('Count', count)
"
Python program to compute sum of digits in number	"def sumDigits(no):
	return 0 if no == 0 else int(no % 10) + sumDigits(int(no / 10))


n = 1234511
print(sumDigits(n))
"
Write a python function to generate Lucas Numbers (2, 1, 3, 4, 7, 11, 18...)	"def lucas_numbers(n):
	first, second = 2, 1
	for _ in range(n):
        first, second = second, first + second
	return first
"
Write a function to find sum of nested list using Recursion	"total = 0


def sum_nestedlist(l):
	global total
	for j in range(len(l)):
        if type(l[j]) == list:

            sum_nestedlist(l[j])
        else:
            total += l[j]


sum_nestedlist([[1, 2, 3], [4, [5, 6]], 7])
print(total)
"
for a radius	"

class CircleArea():
	def __init__(self, radius):
        self.radius = radius

	def area(self):
        return 3.14 * self.radius * self.radius


a = 6
obj = CircleArea(a)
print(""Area of rectangle:"", obj.area())
"
56 write a python function to implement the sigmoid activation function	"

import math


def sigmoid(x):
	return 1 / (1 + math.exp(-x))
"
values and and cuustom sequence type.	"class Square:
	def __init__(self, n):
        self.n = n

	def __iter__(self):
        return self.show_sq(self.n)

	@staticmethod
	def show_sq(n):
        for i in range(n):
            yield i**2

	def __getitem__(self, i):
        if isinstance(i, int):
            if (i <= self.n):
                print(i**2)
            else:
                raise ValueError('Index out of bound')
"
set of addition problems	"def carry_number(x, y):
	ctr = 0
	if(x == 0 and y == 0):
        return 0
	z = 0
	for i in reversed(range(10)):
        z = x % 10 + y % 10 + z
        if z > 9:
            z = 1
        else:
            z = 0
        ctr += z
        x //= 10
        y //= 10
	if ctr == 0:
        return ""No carry operation.""
	elif ctr == 1:
        return ctr
	else:
        return ctr
"
Program to find the number if it is within 100 of 1000 or 2000	"def near_thousand(n):
	return (abs(1000 - n) <= 100) or (abs(2000 - n) <= 100)


print(near_thousand(1000))
print(near_thousand(900))
print(near_thousand(800))
print(near_thousand(2200))
"
write Python code to convert string to list character-wise	"def Convert_3(string):
	list1 = []
	list1[:0] = string
	return list1


str1 = ""ABCD""
print(Convert(str1))
"
write a function that return space count	"
def count_space(str1):

	count = 0

	for i in range(0, len(str1)):

        if str1[i] == "" "":
            count += 1

	return count
"
Write a function to find sum of nested list using Recursion	"total = 0


def sum_nestedlist(l):
	global total
	for j in range(len(l)):
        if type(l[j]) == list:

            sum_nestedlist(l[j])
        else:
            total += l[j]


sum_nestedlist([[1, 2, 3], [4, [5, 6]], 7])
print(total)
"
using TFIDF vectorizer	"def get_words(corpus, new_doc, top=2):
	import numpy as np
	from sklearn.feature_extraction.text import TfidfVectorizer

	tfidf = TfidfVectorizer(stop_words='english')
	if not corpus:
        corpus = [
            'I would like to check this document',
            'How about one more document',
            'Aim is to capture the key words from the corpus',
            'frequency of words in a document is called term frequency'
        ]

	X = tfidf.fit_transform(corpus)
	feature_names = np.array(tfidf.get_feature_names())

	if not new_doc:
        new_doc = ['can key words in this new document be identified?',
                   'idf is the inverse document frequency calculated for each of the words']
	responses = tfidf.transform(new_doc)

	def get_top_tf_idf_words(response, top_n=top):
        sorted_nzs = np.argsort(response.data)[:-(top_n + 1):-1]
        return feature_names[response.indices[sorted_nzs]]

	print([get_top_tf_idf_words(response, 2) for response in responses])
"
Write a Python program to find the repeated items of a tuple.	"tuplex = 2, 4, 5, 6, 2, 3, 4, 4, 7
print(tuplex)
count = tuplex.count(4)
print(count)
"
where n is provided as the argument	"def fibonacci_recursive(n):
	if n <= 1:
        return n
	else:
        return (recur_fibo(n - 1) + recur_fibo(n - 2))
"
write a python function to append all elements of one list to another	"def extend_list(list1, list2):
	list1 = [1, 2]
	list2 = [3, 4]
	return list1.extend(list2)
"
Generate 3 random integers between 100 and 999 which is divisible by 5	"import random


print(""Generating 3 random integer number between 100 and 999 divisible by 5"")
for num in range(3):
	print(random.randrange(100, 999, 5), end=', ')
"
is |x1 - x2| + |y1 - y2|.	"

from functools import lru_cache


def minimumDistance(word):
	def getDist(a, b):
        if a == -1 or b == -1:
            return 0
        else:
            i = ord(a) - ord('a')
            j = ord(b) - ord('b')
            dist = abs(i // 6 - j // 6) + abs(i % 6 - j % 6)
            return dist

	@ lru_cache(maxsize=None)
	def getMinDist(l, r, k):
        if k == len(word):
            return 0
        next = word[k].lower()
        ret = min(getMinDist(next, r, k + 1) + getDist(l, next),
                  getMinDist(l, next, k + 1) + getDist(r, next))
        return ret

	return(getMinDist(-1, -1, 0))
"
user.	"num = int(input(""Enter a number: ""))


factorial = 1


if num < 0:
	print(""Sorry, factorial does not exist for negative numbers"")
elif num == 0:
	print(""The factorial of 0 is 1"")
else:
	for i in range(1, num + 1):
        factorial = factorial * i
	print(""The factorial of"", num, ""is"", factorial)
"
modify the 1st element of the 2nd sublist	"my_list1[1][0] = 'a'
print(""after my_list1[1][0] = 'a' ---> "", my_list1)
"
keys and the numbers in english as values	"number_dict = {
	1: 'one',
	2: 'two',
	3: 'three',
	4: 'four',
	5: 'five'
}
"
keys and values	"a = {""a"": 1, ""b"": 2, ""c"": 3, ""d"": 4}
for k, v in a.items():
	print(k, v)
"
write a python function to return only even numbers in a list	"def filter_even(nums):
	return list(filter(lambda num: num % 2 == 0, nums))
"
write a python program to print the datatype of a variable	"x = 2
print(type(x))
"
the reversed number	"Number = int(input(""Please Enter any Number: ""))
Reverse = 0
while(Number > 0):
	Reminder = Number % 10
	Reverse = (Reverse * 10) + Reminder
	Number = Number // 10

print(""\n Reverse of entered number is = %d"" % Reverse)
"
write a python program to check two lists are equal or not	"

a = frozenset(set([5, 6, 7]))
print(a)
"
write a program for  Extending a sublist	"

a = [[2, 4, 6, 8, 10], [3, 6, 9, 12, 15], [4, 8, 12, 16, 20]]
a[0].extend([12, 14, 16, 18])
print(a)
"
Write a Python Program to Generate Gray Codes using Recursion	"

def get_gray_codes(n):
	
	if n == 0:
        return ['']
	first_half = get_gray_codes(n - 1)
	second_half = first_half.copy()

	first_half = ['0' + code for code in first_half]
	second_half = ['1' + code for code in reversed(second_half)]

	return first_half + second_half
"
Write a function to return the area of a right angle triangle	"

def cal_rt_triangle_area(base: float, height: float) -> float:
	if base and height:
        return (base * height) / 2
	else:
        return None
"
values sum greater than K	"

test_list = [{""Gfg"": 4, ""is"": 8, ""best"": 9},
             {""Gfg"": 5, ""is"": 8, ""best"": 1},
             {""Gfg"": 3, ""is"": 7, ""best"": 6},
             {""Gfg"": 3, ""is"": 7, ""best"": 5}]


print(""The original list : "" + str(test_list))


K = 15


res = []
for sub in test_list:
	sum = 0
	for key in sub:
        sum += sub[key]
	if sum > K:
        res.append(sub)


print(""Dictionaries with summation greater than K : "" + str(res))
"
Choose given number of elements from the list with different probability	"import random
num1 = 5
numberList = [111, 222, 333, 444, 555]
print(random.choices(numberList, weights=(10, 20, 30, 40, 50), k=num1))
"
access Last characters in a string	"word = ""Hello World""
letter = word[-1]
print(f""First Charecter in String:{letter}"")
"
Write a Python function for Binary Search	"def binary_search(l, num_find):
	
	start = 0
	end = len(l) - 1
	mid = (start + end) // 2
	found = False
	position = -1
	while start <= end:
        if l[mid] == num_find:
            found = True
            position = mid
            break
        if num_find > l[mid]:
            start = mid + 1
            mid = (start + end) // 2
        else:
            end = mid - 1
            mid = (start + end) // 2
	return (found, position)
"
Write a function to return the area of a square	"def cal_area_square(side):
	return side**2
"
Sort the list in descending order	"my_list = [4, 3, 2, 9, 10, 44, 1]
my_list.sort(reverse=True)
print(f""Descending Order list:,{my_list}"")
"
Write a program to convert dictionary into JSON	"import json
data = {""key1"": ""value1"", ""key2"": ""value2""}
jsonData = json.dumps(data)
print(jsonData)
"
96 write a python program to convert  list of tuples into digits and print it	"
lst = [(11, 100), (22, 200), (33, 300), (44, 400), (88, 800)]
a = ''
for i in lst:
	for j in i:
        a += str(j)
print(list(set(a)))
"
rate and time	"

def simpleIntereset(principal, rate, time):
	return principal * rate * time / 100
"
add 1 to obtain 3n + 1. Repeat the process until you reach 1.	"def collatz_sequence(x):
	num_seq = [x]
	if x < 1:
        return []
	while x > 1:
        if x % 2 == 0:
            x = x / 2
        else:
            x = 3 * x + 1
        num_seq.append(x)
	return num_seq
"
comma separated sequence.	"value = []
items = [x for x in input().split(',')]
for p in items:
	intp = int(p, 2)
	if not intp % 5:
        value.append(p)


print(','.join(value))
"
Write a Python program to remove spaces from a given string	"def remove_spaces(str1):
	str1 = str1.replace(' ', '')
	return str1
"
60 Write a function to return the the unique tokens from a string	"

def unique_tokens(st):
	return set(st)
"
write a python program to convert a list of values in kilometers to feet	"kilometer = [39.2, 36.5, 37.3, 37.8]
feet = map(lambda x: float(3280.8399) * x, kilometer)
print(list(feet))
"
Write a Python function to calculate factorial of a given no using class	"

class Fact:
	def __init__(self):
        self.cache = {0: 1, 1: 1}

	def fact(self, n):
        if n not in self.cache:
            self.cache[n] = self.fact(n - 1) * n
        return self.cache[n]
"
Find ASCII Value of Character	"c = 'p'
print(""The ASCII value of '"" + c + ""' is"", ord(c))
"
exception handling and re-raise the exception again.	"def default_exception_simulator(user_func):
	try:
        if callable(user_func):
            user_func()
	except:
        print(""An exception occured"")
        raise
"
Evaluate a string and a number	"print(bool(""Hello""))
print(bool(15))
"
elements	"s1 = eval(input(""Enter set 1 ""))
s2 = eval(input(""Enter set 2 ""))
print(s1.intersection(s2))
"
Generate random Universally unique IDs	"import uuid
safeId = uuid.uuid4()
print(""safe unique id is "", safeId)
"
Write a python function to Copy the Contents of One File into Another	"

def copy(from_file, to_file):
	with open(from_file) as f:
        with open(to_file, ""w"") as f1:
            for line in f:
                f1.write(line)
"
Convert two lists into a dictionary	"ItemId = [54, 65, 76]
names = [""Hard Disk"", ""Laptop"", ""RAM""]
itemDictionary = dict(zip(ItemId, names))
print(itemDictionary)
"
write a Python function to print First n Digits of Pi	"

def pi(n):
	i = 1
	p = x = 3 * 10 ** (n + 10)
	while x:
        x = x * i // ((i + 1) * 4)
        i += 2
        p += x // i
	return '3.' + f""{p // 10 ** 10}""[1:]


print(pi(7))
"
Write a Python function to	"def binary_palindrome(n):
	s = int(bin(n)[2:])
	r = str(s)[::-1]
	if int(r) == s:
        return ""The binary representation of the number is a palindrome.""
	else:
        return ""The binary representation of the number is NOT a palindrome.""
"
length 10	"

list1 = [5] * 10


print(list1)
"
and height h between parallel sides	"def cal_area_trapezium(a, b, h):
	return h * (a + b) / 2
"
print all values except the first 5 elements in the list.	"def printList():
	li = list()
	for i in range(1, 21):
        li.append(i**2)
	print(li[5:])
"
Write Python Program to Print Table of a Given Number	"

n = int(input(""Enter the number to print the tables for:""))
for i in range(1, 11):
	print(n, ""x"", i, ""="", n * i)
"
and also exclude spaces	"def extract_alpha(my_string):
	return """".join([c for c in my_string if c.isalpha()])
"
Write a function that strips every vowel from a string provided	"def strip_vowels(input_str: str) -> str:

	vowels = ['a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U']
	return ''.join(list(filter(lambda x: x not in vowels, input_str)))
"
25. Python Program to Add two Lists	"
NumList1 = []
NumList2 = []
total = []


Number = int(input(""Please enter the Total Number of List Elements: ""))
print(""Please enter the Items of a First and Second List	"")
for i in range(1, Number + 1):
	List1value = int(input(""Please enter the %d Element of List1 : "" % i))
	NumList1.append(List1value)

	List2value = int(input(""Please enter the %d Element of List2 : "" % i))
	NumList2.append(List2value)

for j in range(Number):
	total.append(NumList1[j] + NumList2[j])

print(""\nThe total Sum of Two Lists =  "", total)
"
but not both	"set1 = {10, 20, 30, 40, 50}
set2 = {30, 40, 50, 60, 70}
print(set1.symmetric_difference(set2))
"
the string, ignoring all other characters	"import re


inputStr = ""English = 78 Science = 83 Math = 68 History = 65""
markList = [int(num) for num in re.findall(r'\b\d+\b', inputStr)]
totalMarks = 0
for mark in markList:
	totalMarks += mark


percentage = totalMarks / len(markList)
print(""Total Marks is:"", totalMarks, ""Percentage is "", percentage)
"
write a program to remove even numbers from a list using list comprehensions	"nums = [1, 2, 3, 4, 5, 6, 7, 8]
no_even_nums = [i for i in nums if i % 2 == 1]
"
Sort the list in descending order	"my_list = [4, 3, 2, 9, 10, 44, 1]
my_list.sort(reverse=True)
print(f""Descending Order list:,{my_list}"")
"
write Python3 code to demonstrate to create a substring from string	"ini_string = 'xbzefdgstb'
sstring = ini_string[2:7:2]
print('resultant substring{sstring}')
"
write a program to print maximum frequency character in a string	"

str1 = ""watch the match""
all_freq = {}
for i in str1:
	if i in all_freq:
        all_freq[i] += 1
	else:
        all_freq[i] = 1
res = max(all_freq, key=all_freq.get)
print(""Maximum of all characters is: "" + str(res))
"
"and ""Female"" for Female class."	"class Person(object):
	def getGender(self):
        return ""Unknown""


class Male(Person):
	def getGender(self):
        return ""Male""


class Female(Person):
	def getGender(self):
        return ""Female""
"
Write a Python program to remove spaces from a given string using set	"def remove_duplicate(str1):
	list_str = str1.split()
	return """".join(set(list_str))
"
Write a python function to check if 2 strings are anagrams or not	"def anagram(s1, s2):
	if sorted(s1) == sorted(s2):
        return True
	else:
        return False
"
Write a program to print bit wise XOR of two numbers	"a = 60
b = 13


c = a ^ b
print(""XOR"", c)
"
of the parent class using super	"

class A:
	def __init__(self):
        print(""My name is GYOBU MASATAKA ONIWA!"")


class B(A):
	def __init__(self):
        super(B, self).__init__()
        print(""as I breath, you WILL not pass the castle gates!"")


tmp = B()
"
appear in the string, ignoring all other characters	"import re


inputStr = ""English = 78 Science = 83 Math = 68 History = 65""
markList = [int(num) for num in re.findall(r'\b\d+\b', inputStr)]
totalMarks = 0
for mark in markList:
	totalMarks += mark


percentage = totalMarks / len(markList)
print(f'Total Marks is:{totalMarks},Percentage is:{percentage}')
"
of a number.	"n = int(input(""Input a number: ""))
for i in range(1, 11):
	print(n, 'x', i, '=', n * i)
"
numbers is even	"def is_prod_even(num1, num2):
	sum = num1 + num2
	return not sum % 2
"
returns a list with each list element raised to power of that number	"def powered_list(a_list, a_number):
	a_list = [math.pow(a_number) for i in a_list]
	return a_list
"
heterogeneous list using lambda	"def max_val(list_val):
	max_val = max(list_val, key=lambda i: (isinstance(i, int), i))
	return(max_val)
"
write a python program to loop over dictionaries that share (some) keys	"

dctA = {'a': 1, 'b': 2, 'c': 3}
dctB = {'b': 4, 'c': 3, 'd': 6}


for ky in dctA.keys() & dctB.keys():
	print(ky)
"
Write a python program to find length of list using recursion	"def length(lst):
	if not lst:
        return 0
	return 1 + length(lst[1::2]) + length(lst[2::2])
	a = [1, 2, 3]
	print(""Length of the string is: "")
	print(a)
"
44. Python Program to Multiply Two Matrices using Nested List Comprehension	"X = [[12, 7, 3],
     [4, 5, 6],
     [7, 8, 9]]
"
Given a Python list. Turn every item of a list into its square	"aList = [1, 2, 3, 4, 5, 6, 7]
aList = [x * x for x in aList]
print(aList)
"
occurrence of even element.	"
test_list = [1, 3, 7, 4, 7, 2, 9, 1, 10, 11]

indices_list = [idx for idx in range(
	len(test_list)) if test_list[idx] % 2 == 0]


res = indices_list[-1] - indices_list[0]

print(""Even elements distance : "" + str(res))
"
Write a python function to merge two Dictionaries	"def Merge(dict1, dict2):
	return(dict2.update(dict1))
"
a dictionary	"def count_value(d: dict, value) -> bool:
	return list(v == value for v in dict.values()).count(True)
"
Write a program to swap first and last elements in a list	"

my_list = [1, 2, 3, 4, 5, 6]
my_list[0], my_list[-1] = my_list[-1], my_list[0]
"
they add up to a specific target.	"input_array = [2, 7, 11, 15]
target = 26
result = []


for i, num in enumerate(input_array):
	for j in range(i + 1, len(input_array)):
        print(i, j)
"
list using map() + join()	"

test_list = [('G', 'E', 'E', 'K', 'S'), ('F', 'O', 'R'),
             ('G', 'E', 'E', 'K', 'S')]
print(""The original list is : "" + str(test_list))
res = list(map(''.join, test_list))
print(""The list after conversion to list of string : "" + str(res))
"
write a python function for some weird hypnosis text.	"def weird():
	import random

	def getlength(script):
        return sum((i['length'] for i in script))

	def truncate(target_length, script):
        if getlength(script) > target_length:
            script = sorted(script, key=lambda k: (
                k['priority'], -k['length']))[:-1]
            return truncate(target_length, script)
        return sorted(script, key=lambda k: k['index'])

	def as_text(script):
        return ""\n"".join([i['text'] for i in script])

	priorities_and_sentences = [
        (1, ""...now... sitting comfortably in the chair""),
        (2, ""...with your feet still flat on the ground""),
        (3, ""...back straight and head up right""),
        (2, ""...make these adjustments now if you need to""),
        (3, ""... pause..............................""),
        (1, ""...your eyes ...still ...comfortably closed""),
        (2, ""...nice and relaxed...comfortable and relaxed...""),
        (3, ""... pause.......................................""),
        (1, ""...now...I want you to notice...how heavy your head is starting to feel...""),
        (1, ""how heavy your head feels...""),
        (3, ""... pause.......................................""),
        (2, ""really noticing the weight... of your head...""),
        (3,
         ""and how much more ...comfortable...it will feel when you let your neck relaxes ...and your head begins to fall forward ...into a much more comfortable""),
	]

	scriptlist = [{'priority': j[0], 'text': j[1], 'length': len(j[1]), 'index': i} for i, j in
                  enumerate(priorities_and_sentences)]

	print(as_text(truncate(500, scriptlist)))
	print(as_text(truncate(300, scriptlist)))
	print(as_text(truncate(200, scriptlist)))
"
34. write a Python function to Find LCM and returb the value	"def compute_lcm(x, y):

	
	if x > y:
        greater = x
	else:
        greater = y

	while(True):
        if((greater % x == 0) and (greater % y == 0)):
            lcm = greater
            break
        greater += 1

	return lcm
"
6. Write a python program to swap two variables, Using a temporary variable	"

x = 5
y = 10


temp = x
x = y
y = temp


print('The value of x after swapping: {}'.format(x))
print('The value of y after swapping: {}'.format(y))
"
objects of mass m1 and m2 and distance of r between them	"def cal_gforce(mass1: float, mass2: float, distance: float) -> float:
	g = 6.674 * (10)**(-11)
	return (g * mass1 * mass2) / (distance**2)
"
Create a Generator	"def generator(n=100000):
	my_gen = (i for i in range(n) if i % 5 == 0)
	return my_gen
"
write a python program to concatenate two dictionaries	"

d1 = {'a': 1, 'b': 2}
d2 = {'c': 1, 'd': 2}
d3 = {**d1, **d2}
print(d3)
"
write a python program to print system time	"import time
print(f""{time.time()}"")
"
write a python program that prints every third character in a sentence	"sentence = 'the quick brown fox'
print(sentence[::3])
"
within the rectangle which in turn is inscribed in an ellipse	"

def area(a, b):

	if (a < 0 or b < 0):
        return -1

	A = a * b
	return A


a = 5
b = 2
print(area(a, b))
"
13 function to print the multiplication table	"def maths_tables(no_: int):
	for i in range(1, 11):
        print(f'{no_}x{i}={no_*i}')
"
